station_name,station_lat,station_lon,avg_temp_summer,avg_temp_winter,sunny_days,annual_rainfall,annual_snow
"Wilmington, DE",39.68,-75.6,86,26,206,45,18
"Dover, DE",39.16,-75.52,86,27,207,46,15
"Miami, FL",25.79,-80.29,90,60,248,62,0
"Orlando, FL",28.43,-81.31,92,51,233,53,0
"Tampa, FL",27.96,-82.54,91,52,246,47,0
"Jacksonville, FL",30.49,-81.69,91,44,221,52,0
"Fort Lauderdale, FL",26.07,-80.15,90,61,250,64,0
"Tallahassee, FL",30.4,-84.35,91,40,218,60,0
"Pensacola, FL",30.48,-87.19,90,43,220,65,0
"Key West, FL",24.56,-81.76,88,65,260,40,0
"Gainesville, FL",29.69,-82.27,91,45,225,51,0
"Fort Myers, FL",26.59,-81.86,92,55,252,55,0
"Daytona Beach, FL",29.21,-81.02,89,50,230,52,0
"Naples, FL",26.14,-81.79,91,56,255,54,0
"Sarasota, FL",27.34,-82.53,91,53,250,53,0
"Palm Beach, FL",26.71,-80.05,89,58,252,61,0
"Atlanta, GA",33.64,-84.43,89,34,218,50,2
"Savannah, GA",32.13,-81.2,90,40,216,49,0
"Augusta, GA",33.37,-81.96,91,36,215,45,1
"Macon, GA",32.69,-83.65,91,36,217,46,1
"Columbus, GA",32.52,-84.94,91,37,216,50,1
"Athens, GA",33.95,-83.33,88,33,214,50,2
"Honolulu, HI",21.33,-157.92,85,68,271,17,0
"Hilo, HI",19.72,-155.07,82,64,180,126,0
"Kahului, HI",20.9,-156.43,86,66,275,18,0
"Kona, HI",19.74,-156.05,85,68,280,26,0
"Lihue, HI",21.98,-159.35,84,66,260,42,0
"Lahaina, HI",20.87,-156.68,86,67,290,15,0
"Boise, ID",43.57,-116.22,91,24,206,12,19
"Idaho Falls, ID",43.51,-112.02,85,13,200,10,35
"Pocatello, ID",42.87,-112.44,86,16,198,11,40
"Coeur d'Alene, ID",47.69,-116.78,82,24,175,26,50
"Twin Falls, ID",42.56,-114.46,88,21,205,10,20
"Sun Valley, ID",43.7,-114.35,78,8,210,17,150
"Moscow, ID",46.73,-117.0,80,24,165,25,45
"Lewiston, ID",46.42,-117.02,88,28,180,13,15
"McCall, ID",44.91,-116.1,76,12,200,26,140
"Sandpoint, ID",48.28,-116.55,80,22,170,32,65
"Chicago, IL",41.98,-87.9,84,18,189,37,36
"Springfield, IL",39.84,-89.68,87,20,195,36,22
"Rockford, IL",42.2,-89.1,83,14,185,36,38
"Peoria, IL",40.67,-89.68,86,18,190,36,26
"Champaign, IL",40.04,-88.28,85,19,188,40,24
"Indianapolis, IN",39.73,-86.27,85,20,186,42,24
"Fort Wayne, IN",40.98,-85.2,83,17,180,38,32
"South Bend, IN",41.71,-86.32,82,16,175,40,70
"Evansville, IN",38.05,-87.53,88,25,200,45,12
"Bloomington, IN",39.17,-86.53,85,22,185,46,18
"Des Moines, IA",41.53,-93.65,86,10,199,35,33
"Cedar Rapids, IA",41.88,-91.71,84,9,195,36,35
"Davenport, IA",41.61,-90.59,85,12,193,37,30
"Sioux City, IA",42.4,-96.38,86,8,205,27,32
"Iowa City, IA",41.66,-91.53,84,11,192,38,32
"Dubuque, IA",42.49,-90.67,82,8,185,37,42
"Wichita, KS",37.65,-97.43,93,21,225,31,15
"Kansas City, KS",39.12,-94.63,90,18,215,38,18
"Topeka, KS",39.07,-95.63,90,18,218,37,19
"Dodge City, KS",37.75,-100.02,93,20,235,21,18
"Manhattan, KS",39.19,-96.6,90,17,220,34,20
"Lawrence, KS",38.97,-95.24,90,18,216,38,17
"Louisville, KY",38.18,-85.73,88,26,195,46,12
"Lexington, KY",38.04,-84.6,86,25,190,46,14
"Bowling Green, KY",36.96,-86.42,89,27,198,50,10
"Covington, KY",39.08,-84.51,85,23,185,43,18
"Owensboro, KY",37.77,-87.11,88,26,197,46,10
"New Orleans, LA",29.99,-90.25,91,44,216,64,0
"Baton Rouge, LA",30.53,-91.15,92,41,215,62,0
"Shreveport, LA",32.47,-93.79,94,36,220,51,1
"Lafayette, LA",30.21,-92.03,92,42,214,60,0
"Lake Charles, LA",30.22,-93.22,92,42,218,57,0
"Portland, ME",43.64,-70.31,78,14,190,47,62
"Bangor, ME",44.8,-68.82,76,6,185,42,68
"Augusta, ME",44.32,-69.77,77,8,182,44,72
"Lewiston, ME",44.1,-70.22,78,10,180,45,70
"Bar Harbor, ME",44.39,-68.2,72,16,178,48,58
"Baltimore, MD",39.18,-76.67,87,26,212,44,18
"Annapolis, MD",38.98,-76.49,86,28,214,44,16
"Frederick, MD",39.41,-77.41,86,24,208,42,22
"Hagerstown, MD",39.64,-77.72,85,23,205,40,26
"Ocean City, MD",38.34,-75.08,82,32,218,44,8
"Boston, MA",42.36,-71.01,82,22,200,47,44
"Worcester, MA",42.27,-71.87,80,18,195,48,55
"Springfield, MA",42.11,-72.54,82,18,192,46,48
"Cambridge, MA",42.37,-71.11,82,22,200,47,44
"Cape Cod, MA",41.67,-70.3,78,26,205,45,30
"Nantucket, MA",41.28,-70.1,74,30,208,42,24
"Pittsfield, MA",42.45,-73.25,78,14,185,45,68
"Detroit, MI",42.21,-83.35,83,18,178,33,42
"Grand Rapids, MI",42.88,-85.52,81,16,175,38,72
"Ann Arbor, MI",42.22,-83.75,82,17,180,36,48
"Lansing, MI",42.77,-84.59,81,15,176,32,50
"Traverse City, MI",44.76,-85.62,78,14,168,32,110
"Marquette, MI",46.54,-87.4,72,8,160,34,140
"Sault Ste. Marie, MI",46.49,-84.35,70,4,155,34,120
"Kalamazoo, MI",42.29,-85.59,81,17,178,38,68
"Flint, MI",43.01,-83.69,81,16,175,31,45
"Muskegon, MI",43.23,-86.25,78,18,172,34,90
"Minneapolis, MN",44.88,-93.22,83,4,196,31,54
"St. Paul, MN",44.95,-93.1,83,4,196,32,52
"Rochester, MN",43.91,-92.5,81,2,194,34,50
"Duluth, MN",46.84,-92.18,72,-6,175,31,86
"St. Cloud, MN",45.56,-94.16,80,-2,192,28,48
"Bemidji, MN",47.47,-94.88,76,-10,188,26,55
"International Falls, MN",48.6,-93.4,72,-14,180,25,66
"Brainerd, MN",46.36,-94.2,78,-4,190,28,52
"Jackson, MS",32.32,-90.08,92,36,217,55,1
"Gulfport, MS",30.37,-89.09,90,43,220,64,0
"Hattiesburg, MS",31.33,-89.29,91,39,215,58,0
"Tupelo, MS",34.26,-88.7,90,32,212,55,2
"Biloxi, MS",30.4,-88.89,90,44,222,65,0
"St. Louis, MO",38.75,-90.37,89,22,215,42,16
"Kansas City, MO",39.3,-94.71,90,18,215,38,18
"Springfield, MO",37.24,-93.38,88,24,218,45,14
"Columbia, MO",38.95,-92.33,88,20,210,42,18
"Branson, MO",36.64,-93.22,88,26,220,46,10
"St. Joseph, MO",39.77,-94.85,88,16,212,36,20
"Billings, MT",45.8,-108.54,86,14,206,14,56
"Missoula, MT",46.87,-114.01,82,18,186,14,45
"Great Falls, MT",47.51,-111.3,82,12,205,15,58
"Bozeman, MT",45.68,-111.04,80,10,195,19,85
"Helena, MT",46.6,-112.04,82,12,200,12,46
"Kalispell, MT",48.2,-114.31,78,16,175,17,60
"Butte, MT",46.0,-112.53,76,8,195,13,70
"Whitefish, MT",48.41,-114.34,76,14,170,22,90
"Big Sky, MT",45.26,-111.4,72,6,190,22,150
"Omaha, NE",41.3,-95.89,89,12,219,31,28
"Lincoln, NE",40.85,-96.76,88,12,218,29,26
"Grand Island, NE",40.93,-98.34,88,10,222,25,28
"North Platte, NE",41.14,-100.77,88,10,228,20,30
"Scottsbluff, NE",41.87,-103.66,86,12,235,16,38
"Las Vegas, NV",36.08,-115.15,104,38,294,4,1
"Reno, NV",39.5,-119.79,91,25,292,8,22
"Henderson, NV",36.04,-115.04,104,38,294,4,0
"Carson City, NV",39.16,-119.77,88,24,288,11,24
"Elko, NV",40.83,-115.76,88,14,275,10,45
"Ely, NV",39.25,-114.89,84,12,280,10,42
"Winnemucca, NV",40.97,-117.74,90,18,278,8,20
"Tonopah, NV",38.07,-117.23,88,22,285,5,12
"Manchester, NH",42.99,-71.46,82,12,194,44,62
"Concord, NH",43.21,-71.54,81,10,192,42,64
"Nashua, NH",42.77,-71.47,82,14,195,44,58
"Portsmouth, NH",43.07,-70.76,79,18,198,46,50
"North Conway, NH",44.05,-71.13,76,6,180,48,90
"Mount Washington, NH",44.27,-71.3,52,-8,150,96,280
"Newark, NJ",40.7,-74.17,85,24,205,46,26
"Jersey City, NJ",40.71,-74.06,84,25,206,47,24
"Trenton, NJ",40.22,-74.76,85,24,204,46,24
"Atlantic City, NJ",39.38,-74.45,82,28,212,42,16
"Princeton, NJ",40.35,-74.66,84,23,202,46,26
"Cape May, NJ",38.94,-74.91,80,30,215,44,12
"Albuquerque, NM",35.04,-106.62,92,26,278,10,10
"Santa Fe, NM",35.67,-105.96,84,20,283,14,32
"Las Cruces, NM",32.35,-106.76,97,32,290,10,3
"Roswell, NM",33.39,-104.52,94,28,282,13,8
"Taos, NM",36.41,-105.57,80,14,280,13,38
"Carlsbad, NM",32.42,-104.23,96,32,285,13,4
"Ruidoso, NM",33.33,-105.67,80,22,275,21,45
"Los Alamos, NM",35.89,-106.29,80,18,280,19,52
"Silver City, NM",32.77,-108.28,88,26,278,16,12
"New York City, NY",40.78,-73.97,84,26,224,50,26
"Buffalo, NY",42.93,-78.73,79,16,165,40,94
"Albany, NY",42.75,-73.8,82,14,180,40,60
"Rochester, NY",43.12,-77.68,80,16,168,34,100
"Syracuse, NY",43.11,-76.11,80,14,164,40,124
"Ithaca, NY",42.44,-76.5,78,14,165,38,66
"Saratoga Springs, NY",43.08,-73.78,80,12,175,42,65
"Lake Placid, NY",44.28,-73.98,72,2,162,42,120
"Poughkeepsie, NY",41.7,-73.93,82,18,185,46,42
"Binghamton, NY",42.1,-75.91,78,14,158,40,82
"Long Island, NY",40.79,-73.13,82,28,218,48,24
"Charlotte, NC",35.21,-80.94,89,31,218,43,4
"Raleigh, NC",35.87,-78.79,89,30,213,46,5
"Asheville, NC",35.6,-82.57,82,28,200,47,10
"Wilmington, NC",34.21,-77.89,88,38,220,56,2
"Greensboro, NC",36.1,-79.83,88,29,210,44,6
"Durham, NC",35.99,-78.9,88,30,212,46,5
"Winston-Salem, NC",36.1,-80.26,87,29,208,45,7
"Fayetteville, NC",35.06,-78.88,90,33,215,48,3
"Boone, NC",36.22,-81.67,74,22,185,52,35
"Outer Banks, NC",35.9,-75.6,84,38,222,52,3
"Fargo, ND",46.9,-96.79,82,-6,200,22,44
"Bismarck, ND",46.81,-100.78,84,-4,205,17,42
"Grand Forks, ND",47.93,-97.03,80,-8,198,21,46
"Minot, ND",48.23,-101.29,80,-8,202,17,40
"Williston, ND",48.15,-103.62,82,-6,208,14,35
"Columbus, OH",39.99,-82.89,85,21,177,40,28
"Cleveland, OH",41.41,-81.85,82,19,166,39,60
"Cincinnati, OH",39.05,-84.67,86,23,185,43,20
"Toledo, OH",41.66,-83.58,83,17,172,34,38
"Akron, OH",41.08,-81.52,82,19,170,40,50
"Dayton, OH",39.9,-84.22,85,21,180,41,24
"Youngstown, OH",41.1,-80.65,80,18,165,38,55
"Oklahoma City, OK",35.39,-97.6,94,28,232,36,9
"Tulsa, OK",36.13,-95.94,93,28,228,41,9
"Norman, OK",35.22,-97.44,94,28,230,36,8
"Lawton, OK",34.61,-98.42,96,30,235,31,6
"Stillwater, OK",36.12,-97.06,93,26,226,38,10
"Portland, OR",45.59,-122.6,80,36,164,43,3
"Eugene, OR",44.06,-123.12,80,34,158,47,4
"Salem, OR",44.92,-123.0,81,34,156,44,5
"Bend, OR",44.06,-121.31,78,24,200,12,32
"Medford, OR",42.33,-122.87,89,32,192,19,8
"Astoria, OR",46.19,-123.83,64,38,125,67,3
"Pendleton, OR",45.67,-118.79,86,26,190,13,18
"Klamath Falls, OR",42.22,-121.74,82,22,195,14,35
"Newport, OR",44.64,-124.05,60,40,140,68,1
"Hood River, OR",45.71,-121.52,78,32,175,32,20
"Ashland, OR",42.19,-122.71,86,32,195,20,10
"La Grande, OR",45.32,-118.09,82,22,185,18,35
"Philadelphia, PA",39.87,-75.23,86,24,205,44,22
"Pittsburgh, PA",40.5,-79.95,82,21,170,40,42
"Harrisburg, PA",40.27,-76.88,85,22,186,41,30
"Allentown, PA",40.65,-75.44,84,21,185,46,32
"Erie, PA",42.13,-80.09,78,18,162,43,100
"Scranton, PA",41.41,-75.66,80,18,175,42,48
"State College, PA",40.79,-77.86,80,18,175,42,44
"Providence, RI",41.73,-71.43,82,22,200,47,35
"Newport, RI",41.49,-71.31,78,26,205,48,28
"Warwick, RI",41.7,-71.42,81,23,200,47,32
"Charleston, SC",32.9,-80.04,89,40,220,51,0
"Columbia, SC",33.95,-81.12,92,35,218,47,1
"Greenville, SC",34.85,-82.4,88,32,212,50,3
"Myrtle Beach, SC",33.69,-78.89,87,40,222,52,1
"Hilton Head, SC",32.22,-80.75,88,42,224,49,0
"Spartanburg, SC",34.95,-81.93,88,32,210,50,4
"Sioux Falls, SD",43.54,-96.73,85,6,212,26,42
"Rapid City, SD",44.08,-103.23,85,12,220,17,42
"Aberdeen, SD",45.47,-98.49,82,-2,208,21,38
"Pierre, SD",44.37,-100.35,86,6,215,18,36
"Nashville, TN",36.12,-86.68,90,29,208,48,4
"Memphis, TN",35.05,-89.99,92,32,218,54,3
"Knoxville, TN",35.98,-83.94,87,29,204,48,6
"Chattanooga, TN",35.03,-85.15,89,31,206,52,3
"Gatlinburg, TN",35.71,-83.51,82,28,195,56,12
"Johnson City, TN",36.31,-82.35,84,28,198,44,10
"Clarksville, TN",36.53,-87.36,89,28,205,50,5
"Houston, TX",29.64,-95.28,94,44,204,50,0
"San Antonio, TX",29.53,-98.47,96,42,220,32,0
"Dallas, TX",32.85,-96.85,96,36,232,38,2
"Austin, TX",30.3,-97.7,96,40,228,34,0
"Fort Worth, TX",32.83,-97.06,96,35,230,35,2
"El Paso, TX",31.81,-106.38,96,36,297,10,5
"Lubbock, TX",33.58,-101.86,92,30,262,19,10
"Amarillo, TX",35.22,-101.83,90,26,260,20,17
"Corpus Christi, TX",27.73,-97.4,92,50,232,32,0
"Galveston, TX",29.3,-94.8,89,48,218,48,0
"Midland, TX",31.99,-102.08,95,34,265,15,4
"Brownsville, TX",25.9,-97.5,92,54,228,28,0
"McAllen, TX",26.2,-98.23,94,52,230,24,0
"Laredo, TX",27.51,-99.51,98,48,238,21,0
"College Station, TX",30.63,-96.33,94,40,222,40,0
"Abilene, TX",32.45,-99.73,94,32,250,24,4
"Waco, TX",31.55,-97.15,96,38,228,34,1
"Tyler, TX",32.35,-95.3,94,36,220,48,2
"San Marcos, TX",29.88,-97.94,95,42,226,35,0
"Big Bend, TX",29.25,-103.25,94,38,290,12,2
"Salt Lake City, UT",40.79,-111.98,92,24,232,17,56
"Provo, UT",40.23,-111.66,90,22,230,18,62
"Ogden, UT",41.22,-111.97,90,22,228,19,60
"St. George, UT",37.1,-113.58,102,36,290,8,2
"Park City, UT",40.65,-111.5,78,12,220,24,300
"Moab, UT",38.57,-109.55,96,24,265,9,8
"Logan, UT",41.74,-111.83,86,18,225,18,52
"Cedar City, UT",37.68,-113.06,88,22,260,12,28
"Bryce Canyon, UT",37.57,-112.17,76,14,255,16,95
"Vernal, UT",40.46,-109.53,86,14,240,9,40
"Burlington, VT",44.48,-73.21,80,10,187,37,78
"Montpelier, VT",44.26,-72.58,78,6,180,40,88
"Stowe, VT",44.47,-72.69,74,4,175,44,115
"Manchester, VT",43.16,-73.07,78,8,178,42,82
"Brattleboro, VT",42.85,-72.56,80,12,182,44,65
"Killington, VT",43.62,-72.8,72,2,170,48,200
"Richmond, VA",37.51,-77.46,88,28,210,44,12
"Virginia Beach, VA",36.73,-76.04,86,34,218,48,6
"Norfolk, VA",36.92,-76.24,86,34,216,48,7
"Arlington, VA",38.88,-77.1,87,27,205,42,15
"Charlottesville, VA",38.03,-78.48,86,26,205,46,16
"Roanoke, VA",37.27,-79.94,85,26,200,42,18
"Blacksburg, VA",37.23,-80.43,82,24,195,42,22
"Lynchburg, VA",37.41,-79.14,85,27,202,44,14
"Williamsburg, VA",37.27,-76.71,86,32,212,48,8
"Winchester, VA",39.19,-78.17,84,24,200,40,24
"Seattle, WA",47.45,-122.31,75,36,152,38,5
"Spokane, WA",47.62,-117.53,82,22,175,17,45
"Tacoma, WA",47.25,-122.44,74,36,155,40,6
"Vancouver, WA",45.64,-122.66,80,35,160,44,4
"Olympia, WA",47.04,-122.9,74,34,148,50,10
"Bellingham, WA",48.76,-122.49,70,34,145,36,12
"Yakima, WA",46.6,-120.51,86,26,198,8,22
"Wenatchee, WA",47.42,-120.31,84,24,195,9,30
"Walla Walla, WA",46.07,-118.34,85,28,190,18,18
"Pullman, WA",46.73,-117.18,80,24,165,22,42
"Ellensburg, WA",46.99,-120.55,82,22,190,9,26
"Leavenworth, WA",47.6,-120.66,78,22,180,25,90
"Port Angeles, WA",48.12,-123.44,65,36,145,25,8
"Charleston, WV",38.35,-81.63,84,24,180,44,28
"Huntington, WV",38.42,-82.45,84,25,178,44,24
"Morgantown, WV",39.63,-79.96,80,20,172,44,40
"Wheeling, WV",40.06,-80.72,80,20,168,42,38
"Beckley, WV",37.78,-81.19,78,22,175,46,35
"Milwaukee, WI",42.95,-87.9,80,12,187,35,48
"Madison, WI",43.14,-89.34,81,8,188,35,50
"Green Bay, WI",44.51,-87.99,78,6,180,30,52
"La Crosse, WI",43.82,-91.23,82,6,190,33,44
"Eau Claire, WI",44.81,-91.5,80,2,185,33,50
"Appleton, WI",44.26,-88.42,79,8,182,32,48
"Oshkosh, WI",44.02,-88.54,80,8,183,32,46
"Door County, WI",44.95,-87.38,74,10,175,30,55
"Cheyenne, WY",41.15,-104.8,82,14,220,16,58
"Casper, WY",42.87,-106.31,84,12,215,12,55
"Laramie, WY",41.31,-105.59,78,10,218,12,50
"Jackson, WY",43.48,-110.76,74,4,205,22,150
"Cody, WY",44.53,-109.06,82,12,210,10,35
"Sheridan, WY",44.8,-106.96,82,12,205,15,60
"Rock Springs, WY",41.59,-109.22,82,12,225,9,42
"Gillette, WY",44.29,-105.5,84,10,210,16,55
"Thermopolis, WY",43.65,-108.21,84,14,215,10,30
"Lander, WY",42.83,-108.73,82,10,210,12,55
