city,state,airport_code,hub_status,annual_enplanements,airport_lat,airport_lon,is_large_hub,is_medium_hub,direct_destinations
Kansas City,MO,MCI,Medium,6241849,39.2976,-94.7139,False,True,65
Cleveland,OH,CLE,Medium,4833712,41.4117,-81.8498,False,True,42
Pittsburgh,PA,PIT,Medium,4621583,40.4915,-80.2329,False,True,68
Indianapolis,IN,IND,Medium,4827935,39.7173,-86.2944,False,True,30
Cincinnati,OH,CVG,Medium,4472376,39.0533,-84.663,False,True,50
Columbus,OH,CMH,Medium,4346816,39.998,-82.8919,False,True,55
New Orleans,LA,MSY,Medium,6758289,29.9934,-90.258,False,True,117
Milwaukee,WI,MKE,Medium,3269571,42.9472,-87.8966,False,True,66
Anchorage,AK,ANC,Medium,2455683,61.1744,-149.9964,False,True,52
San Antonio,TX,SAT,Medium,5200000,29.5337,-98.4698,False,True,87
Sacramento,CA,SMF,Medium,6500000,38.6954,-121.5908,False,True,124
Oakland,CA,OAK,Medium,5800000,37.7213,-122.2208,False,True,74
San Jose,CA,SJC,Medium,5600000,37.3626,-121.9291,False,True,81
Fort Lauderdale,FL,FLL,Medium,8200000,26.0726,-80.1527,False,True,105
Dallas Love,TX,DAL,Medium,7100000,32.8471,-96.8518,False,True,125
Houston Hobby,TX,HOU,Medium,6300000,29.6454,-95.2789,False,True,116
Chicago Midway,IL,MDW,Medium,5400000,41.7868,-87.7522,False,True,127
Boise,ID,BOI,Small,2289451,43.5644,-116.2228,False,False,52
Albuquerque,NM,ABQ,Small,2684527,35.0402,-106.609,False,False,69
Tucson,AZ,TUS,Small,1922865,32.1161,-110.941,False,False,40
El Paso,TX,ELP,Small,1712547,31.8072,-106.3776,False,False,57
Omaha,NE,OMA,Small,2447823,41.3032,-95.8941,False,False,63
Buffalo,NY,BUF,Small,2423856,42.9405,-78.7322,False,False,61
Richmond,VA,RIC,Small,2066421,37.5052,-77.3197,False,False,52
Jacksonville,FL,JAX,Small,3476822,30.4941,-81.6879,False,False,48
Memphis,TN,MEM,Small,2196741,35.0424,-89.9767,False,False,62
Oklahoma City,OK,OKC,Small,2404891,35.3931,-97.6007,False,False,62
Spokane,WA,GEG,Small,1800000,47.6199,-117.5338,False,False,51
Reno,NV,RNO,Small,2100000,39.4991,-119.7681,False,False,54
Louisville,KY,SDF,Small,2000000,38.1744,-85.736,False,False,57
Birmingham,AL,BHM,Small,1500000,33.5629,-86.7535,False,False,49
Little Rock,AR,LIT,Small,1100000,34.7294,-92.2243,False,False,42
Tulsa,OK,TUL,Small,1600000,36.1984,-95.8881,False,False,41
Wichita,KS,ICT,Small,800000,37.6499,-97.4331,False,False,63
Des Moines,IA,DSM,Small,1400000,41.534,-93.6631,False,False,47
Madison,WI,MSN,Small,1000000,43.1399,-89.3375,False,False,59
Grand Rapids,MI,GRR,Small,1500000,42.8808,-85.5228,False,False,66
Knoxville,TN,TYS,Small,1100000,35.811,-83.994,False,False,42
Greenville,SC,GSP,Small,1400000,34.8957,-82.2189,False,False,47
Charleston,SC,CHS,Small,2300000,32.8986,-80.0405,False,False,46
Savannah,GA,SAV,Small,1500000,32.1276,-81.2021,False,False,40
Norfolk,VA,ORF,Small,1800000,36.8946,-76.2012,False,False,39
Providence,RI,PVD,Small,1800000,41.7267,-71.4284,False,False,68
Hartford,CT,BDL,Small,2800000,41.9389,-72.6832,False,False,42
Albany,NY,ALB,Small,1400000,42.7483,-73.8017,False,False,58
Syracuse,NY,SYR,Small,900000,43.1112,-76.1063,False,False,63
Rochester,NY,ROC,Small,1100000,43.1189,-77.6724,False,False,52
Dayton,OH,DAY,Small,700000,39.9024,-84.2194,False,False,41
Akron,OH,CAK,Small,600000,40.9161,-81.4422,False,False,46
Lexington,KY,LEX,Small,700000,38.0365,-84.6059,False,False,35
Fayetteville,AR,XNA,Small,1000000,36.2819,-94.3068,False,False,44
Colorado Springs,CO,COS,Small,900000,38.8058,-104.7009,False,False,55
Wenatchee,WA,EAT,Regional,50000,47.3985,-120.207,False,False,41
Yakima,WA,YKM,Regional,30000,46.5682,-120.5441,False,False,50
Pullman,WA,PUW,Regional,40000,46.7439,-117.1096,False,False,66
Tri-Cities,WA,PSC,Regional,200000,46.2647,-119.119,False,False,40
Bellingham,WA,BLI,Regional,300000,48.7928,-122.5375,False,False,52
Eugene,OR,EUG,Regional,400000,44.1246,-123.219,False,False,69
Medford,OR,MFR,Regional,200000,42.3742,-122.8735,False,False,58
Redmond,OR,RDM,Regional,300000,44.2541,-121.15,False,False,52
Billings,MT,BIL,Regional,400000,45.8077,-108.5429,False,False,48
Missoula,MT,MSO,Regional,250000,46.9163,-114.0906,False,False,57
Bozeman,MT,BZN,Regional,600000,45.7775,-111.153,False,False,38
Helena,MT,HLN,Regional,60000,46.6068,-111.9827,False,False,62
Great Falls,MT,GTF,Regional,100000,47.482,-111.3707,False,False,54
Idaho Falls,ID,IDA,Regional,150000,43.5146,-112.0708,False,False,55
Twin Falls,ID,TWF,Regional,50000,42.4818,-114.4877,False,False,62
Pocatello,ID,PIH,Regional,40000,42.9098,-112.5962,False,False,59
Casper,WY,CPR,Regional,80000,42.908,-106.4644,False,False,66
Jackson Hole,WY,JAC,Regional,350000,43.6073,-110.7377,False,False,46
Rapid City,SD,RAP,Regional,250000,44.0453,-103.0574,False,False,62
Sioux Falls,SD,FSD,Regional,500000,43.582,-96.7419,False,False,47
Fargo,ND,FAR,Regional,400000,46.9207,-96.8158,False,False,67
Bismarck,ND,BIS,Regional,150000,46.7728,-100.7467,False,False,47
Grand Forks,ND,GFK,Regional,50000,47.9493,-97.1761,False,False,41
Lincoln,NE,LNK,Regional,100000,40.851,-96.7592,False,False,56
Fresno,CA,FAT,Regional,700000,36.7762,-119.7181,False,False,43
Bakersfield,CA,BFL,Regional,80000,35.4336,-119.0568,False,False,54
Santa Barbara,CA,SBA,Regional,300000,34.4262,-119.8404,False,False,66
Palm Springs,CA,PSP,Regional,1000000,33.8297,-116.5067,False,False,68
Ontario,CA,ONT,Regional,2500000,34.056,-117.6012,False,False,33
Burbank,CA,BUR,Regional,2500000,34.2007,-118.3585,False,False,43
Santa Ana,CA,SNA,Regional,5000000,33.6757,-117.8682,False,False,47
Long Beach,CA,LGB,Regional,1500000,33.8177,-118.1516,False,False,51
Monterey,CA,MRY,Regional,200000,36.587,-121.8429,False,False,68
Santa Rosa,CA,STS,Regional,150000,38.509,-122.8129,False,False,54
Redding,CA,RDD,Regional,70000,40.509,-122.2934,False,False,68
Lubbock,TX,LBB,Regional,400000,33.6636,-101.8228,False,False,34
Amarillo,TX,AMA,Regional,300000,35.2194,-101.7059,False,False,44
Midland,TX,MAF,Regional,500000,31.9425,-102.2019,False,False,38
Corpus Christi,TX,CRP,Regional,200000,27.7704,-97.5012,False,False,59
Harlingen,TX,HRL,Regional,400000,26.2285,-97.6544,False,False,65
McAllen,TX,MFE,Regional,300000,26.1758,-98.2386,False,False,34
Laredo,TX,LRD,Regional,100000,27.5438,-99.4616,False,False,34
Abilene,TX,ABI,Regional,70000,32.4113,-99.6819,False,False,49
Tyler,TX,TYR,Regional,50000,32.3541,-95.4024,False,False,56
Waco,TX,ACT,Regional,40000,31.6113,-97.2305,False,False,36
Mobile,AL,MOB,Regional,350000,30.6914,-88.2428,False,False,47
Montgomery,AL,MGM,Regional,150000,32.3006,-86.394,False,False,37
Huntsville,AL,HSV,Regional,700000,34.6372,-86.7751,False,False,63
Pensacola,FL,PNS,Regional,900000,30.4734,-87.1866,False,False,48
Tallahassee,FL,TLH,Regional,400000,30.3965,-84.3503,False,False,33
Gainesville,FL,GNV,Regional,150000,29.6901,-82.2718,False,False,46
Sarasota,FL,SRQ,Regional,1200000,27.3954,-82.5544,False,False,51
Fort Myers,FL,RSW,Regional,4000000,26.5362,-81.7552,False,False,44
West Palm Beach,FL,PBI,Regional,3200000,26.6832,-80.0956,False,False,43
Myrtle Beach,SC,MYR,Regional,1500000,33.6797,-78.9283,False,False,41
Asheville,NC,AVL,Regional,800000,35.4362,-82.5418,False,False,30
Wilmington,NC,ILM,Regional,400000,34.2706,-77.9026,False,False,60
Fayetteville,NC,FAY,Regional,100000,34.9912,-78.8803,False,False,66
Augusta,GA,AGS,Regional,200000,33.37,-81.9645,False,False,37
Chattanooga,TN,CHA,Regional,250000,35.0353,-85.2038,False,False,58
Shreveport,LA,SHV,Regional,250000,32.4466,-93.8256,False,False,33
Baton Rouge,LA,BTR,Regional,400000,30.5333,-91.1496,False,False,42
Lafayette,LA,LFT,Regional,150000,30.2053,-91.9876,False,False,53
Jackson,MS,JAN,Regional,500000,32.3112,-90.0759,False,False,46
Gulfport,MS,GPT,Regional,200000,30.4073,-89.0701,False,False,69
Springfield,MO,SGF,Regional,400000,37.2457,-93.3886,False,False,39
Branson,MO,BKG,Regional,30000,36.5319,-93.2005,False,False,54
Columbia,MO,COU,Regional,40000,38.8181,-92.2196,False,False,41
Cedar Rapids,IA,CID,Regional,500000,41.8847,-91.7108,False,False,55
Duluth,MN,DLH,Regional,200000,46.8421,-92.1936,False,False,58
Rochester,MN,RST,Regional,150000,43.9083,-92.5,False,False,40
Green Bay,WI,GRB,Regional,350000,44.4851,-88.1296,False,False,67
Appleton,WI,ATW,Regional,300000,44.2581,-88.5191,False,False,57
Kalamazoo,MI,AZO,Regional,200000,42.235,-85.5521,False,False,43
Lansing,MI,LAN,Regional,200000,42.7787,-84.5874,False,False,41
Traverse City,MI,TVC,Regional,300000,44.7415,-85.5822,False,False,51
Flint,MI,FNT,Regional,250000,42.9655,-83.7436,False,False,59
Fort Wayne,IN,FWA,Regional,300000,40.9785,-85.1951,False,False,58
South Bend,IN,SBN,Regional,350000,41.7087,-86.3173,False,False,39
Evansville,IN,EVV,Regional,200000,38.037,-87.5324,False,False,32
Peoria,IL,PIA,Regional,200000,40.6642,-89.6933,False,False,38
Moline,IL,MLI,Regional,350000,41.4485,-90.5075,False,False,65
Champaign,IL,CMI,Regional,100000,40.0391,-88.2781,False,False,42
Springfield,IL,SPI,Regional,100000,39.8441,-89.6779,False,False,60
Rockford,IL,RFD,Regional,80000,42.1954,-89.0972,False,False,56
Portland,ME,PWM,Regional,900000,43.6462,-70.3093,False,False,60
Manchester,NH,MHT,Regional,600000,42.9326,-71.4357,False,False,35
Burlington,VT,BTV,Regional,300000,44.472,-73.1533,False,False,48
Bangor,ME,BGR,Regional,200000,44.8074,-68.8281,False,False,43
Hyannis,MA,HYA,Regional,50000,41.6693,-70.2804,False,False,51
Nantucket,MA,ACK,Regional,100000,41.253,-70.0602,False,False,39
Martha's Vineyard,MA,MVY,Regional,80000,41.3931,-70.6143,False,False,50
Islip,NY,ISP,Regional,1500000,40.7952,-73.1002,False,False,40
White Plains,NY,HPN,Regional,800000,41.067,-73.7076,False,False,66
Trenton,NJ,TTN,Regional,150000,40.2767,-74.8135,False,False,47
Atlantic City,NJ,ACY,Regional,300000,39.4576,-74.5772,False,False,37
Harrisburg,PA,MDT,Regional,600000,40.1935,-76.7634,False,False,35
Scranton,PA,AVP,Regional,250000,41.3385,-75.7234,False,False,40
Allentown,PA,ABE,Regional,350000,40.6521,-75.4408,False,False,30
State College,PA,SCE,Regional,100000,40.8493,-77.8487,False,False,56
Johnstown,PA,JST,Regional,20000,40.3161,-78.8339,False,False,36
Erie,PA,ERI,Regional,100000,42.0831,-80.1762,False,False,51
Youngstown,OH,YNG,Regional,40000,41.2607,-80.679,False,False,30
Toledo,OH,TOL,Regional,150000,41.5868,-83.8078,False,False,52
Morgantown,WV,MGW,Regional,30000,39.6429,-79.9163,False,False,68
Charleston,WV,CRW,Regional,200000,38.3731,-81.5932,False,False,38
Charlottesville,VA,CHO,Regional,200000,38.1386,-78.4529,False,False,32
Roanoke,VA,ROA,Regional,250000,37.3255,-79.9754,False,False,49
Newport News,VA,PHF,Regional,150000,37.1319,-76.493,False,False,59
Lynchburg,VA,LYH,Regional,60000,37.3267,-79.2004,False,False,66
Santa Fe,NM,SAF,Regional,50000,35.6171,-106.0883,False,False,52
Roswell,NM,ROW,Regional,20000,33.3016,-104.5307,False,False,50
Farmington,NM,FMN,Regional,30000,36.7412,-108.2299,False,False,40
Durango,CO,DRO,Regional,150000,37.1515,-107.7536,False,False,44
Grand Junction,CO,GJT,Regional,200000,39.1224,-108.5267,False,False,66
Montrose,CO,MTJ,Regional,100000,38.5098,-107.8942,False,False,49
Aspen,CO,ASE,Regional,200000,39.2232,-106.8689,False,False,46
Eagle/Vail,CO,EGE,Regional,250000,39.6426,-106.9177,False,False,37
Steamboat Springs,CO,HDN,Regional,80000,40.4812,-107.2178,False,False,38
Gunnison,CO,GUC,Regional,30000,38.5339,-106.9332,False,False,63
St. George,UT,SGU,Regional,250000,37.0363,-113.5103,False,False,50
Cedar City,UT,CDC,Regional,30000,37.701,-113.0986,False,False,51
Provo,UT,PVU,Regional,50000,40.2192,-111.7234,False,False,51
Moab,UT,CNY,Regional,10000,38.755,-109.7545,False,False,55
Sun Valley,ID,SUN,Regional,50000,43.5044,-114.2956,False,False,64
