city_crime_key,city_violent_crime_rate,city_property_crime_rate,city_total_crime_rate
"Murfreesboro, TN",3.8,28.2,32.0
"Houston, TX",8.2,42.5,50.7
"San Antonio, TX",6.8,38.5,45.3
"Dallas, TX",7.5,35.8,43.3
"Austin, TX",4.2,32.8,37.0
"Fort Worth, TX",5.2,28.5,33.7
"El Paso, TX",3.2,18.5,21.7
"Arlington, TX",3.8,28.2,32.0
"Corpus Christi, TX",5.8,32.5,38.3
"Plano, TX",1.2,15.8,17.0
"Lubbock, TX",6.2,35.8,42.0
"Laredo, TX",3.5,22.5,26.0
"Irving, TX",2.8,22.8,25.6
"Amarillo, TX",5.8,38.5,44.3
"Brownsville, TX",2.8,18.5,21.3
"McKinney, TX",1.2,12.5,13.7
"Frisco, TX",0.8,10.5,11.3
"Midland, TX",4.5,28.2,32.7
"Waco, TX",5.2,32.5,37.7
"Salt Lake City, UT",5.2,42.8,48.0
"Provo, UT",1.2,15.8,17.0
"West Valley City, UT",3.8,28.5,32.3
"Ogden, UT",4.5,32.5,37.0
"St. George, UT",1.5,18.2,19.7
"Sandy, UT",1.2,15.5,16.7
"Park City, UT",0.8,18.5,19.3
"Logan, UT",1.2,12.8,14.0
"Burlington, VT",2.2,18.5,20.7
"Montpelier, VT",0.8,12.2,13.0
"Rutland, VT",2.5,15.8,18.3
"Virginia Beach, VA",1.8,18.5,20.3
"Norfolk, VA",4.5,25.8,30.3
"Richmond, VA",5.8,28.5,34.3
"Chesapeake, VA",2.2,18.2,20.4
"Arlington, VA",1.2,18.5,19.7
"Newport News, VA",4.2,25.2,29.4
"Alexandria, VA",2.5,22.8,25.3
"Hampton, VA",3.8,22.5,26.3
"Roanoke, VA",4.5,28.2,32.7
"Charlottesville, VA",3.2,22.5,25.7
"Lynchburg, VA",3.5,22.8,26.3
"Seattle, WA",5.8,42.5,48.3
"Spokane, WA",5.5,38.5,44.0
"Tacoma, WA",5.2,35.8,41.0
"Vancouver, WA",3.2,28.5,31.7
"Bellevue, WA",1.2,18.5,19.7
"Everett, WA",4.2,32.8,37.0
"Olympia, WA",3.5,28.2,31.7
"Bellingham, WA",2.8,28.5,31.3
"Yakima, WA",4.8,32.5,37.3
"Charleston, WV",4.8,22.5,27.3
"Huntington, WV",5.2,25.8,31.0
"Morgantown, WV",2.2,18.5,20.7
"Wheeling, WV",3.5,18.2,21.7
"Parkersburg, WV",3.2,18.5,21.7
"Milwaukee, WI",8.5,28.5,37.0
"Madison, WI",2.8,22.8,25.6
"Green Bay, WI",3.2,18.5,21.7
"Kenosha, WI",3.5,22.5,26.0
"Racine, WI",5.2,25.8,31.0
"Appleton, WI",1.5,12.8,14.3
"La Crosse, WI",2.2,18.2,20.4
"Eau Claire, WI",2.5,18.5,21.0
"Cheyenne, WY",3.2,22.5,25.7
"Casper, WY",3.5,22.8,26.3
"Laramie, WY",2.8,18.5,21.3
"Gillette, WY",2.5,18.2,20.7
"Rock Springs, WY",3.2,22.5,25.7
